# Type; Identifier; Name; SMILES; Exp logD
Training; mobley_1019269;  butan-1-ol; CCCCO; 0.88
Training; mobley_1075836;  methyl propanoate; CCC(=O)OC; 0.82
Training; mobley_1107178;  iodoethane; CCI; 2.0
Training; mobley_1144156;  ethoxyethane; CCOCC; 0.89
Training; mobley_1231151;  2-chloropropane; CC(C)Cl; 1.9
Training; mobley_1261349;  neopentane; CC(C)(C)C; 3.11
Training; mobley_1323538;  triethylphosphate; CCOP(=O)(OCC)OCC; 0.8
Training; mobley_1328465;  1,1,2-trichloroethane; C(C(Cl)Cl)Cl; 1.89
Training; mobley_1424265;  m-xylene; Cc1cccc(c1)C; 3.2
Training; mobley_1636752;  methanol; CO; -0.74
Training; mobley_1650157;  2-methylpropan-2-ol; CC(C)(C)O; 0.35
Training; mobley_1662128;  but-1-ene; CCC=C; 2.4
Training; mobley_1674094;  hex-1-yne; CCCCC#C; 2.73
Training; mobley_1717215;  methyl formate; COC=O; -0.26
Training; mobley_1733799;  4-bromophenol; c1cc(ccc1O)Br; 2.59
Training; mobley_1735893;  hexanoic acid; CCCCCC(=O)O; 1.92
Training; mobley_186894;  propanethiol; CCCS; 1.81
Training; mobley_1873346;  toluene; Cc1ccccc1; 2.73
Training; mobley_1875719;  pentan-3-one; CCC(=O)CC; 0.82
Training; mobley_1881249;  pentan-2-one; CCCC(=O)C; 0.91
Training; mobley_1923244;  n-butane; CCCC; 2.89
Training; mobley_1952272;  nitromethane; C[N+](=O)[O-]; -0.35
Training; mobley_1977493;  1-chloropropane; CCCCl; 2.04
Training; mobley_2008055;  ethane; CC; 1.81
Training; mobley_20524;  phenol; c1ccc(cc1)O; 1.46
Training; mobley_2068538;  propane; CCC; 2.36
Training; mobley_2198613;  chloroethane; CCCl; 1.43
Training; mobley_2295058;  methyl paraben; COC(=O)c1ccc(cc1)O; 1.96
Training; mobley_2310185;  ethanol; CCO; -0.3
Training; mobley_2341732;  methyl pentanoate; CCCCC(=O)OC; 1.96
Training; mobley_2364370;  butyl acetate; CCCCOC(=O)C; 1.78
Training; mobley_2410897;  ethanamine; CCN; -0.13
Training; mobley_2422586;  1-methoxypropane; CCCOC; 1.21
Training; mobley_2451097;  benzonitrile; c1ccc(cc1)C#N; 1.56
Training; mobley_2487143;  hexan-2-one; CCCCC(=O)C; 1.38
Training; mobley_2489709;  1,2-dichlorobenzene; c1ccc(c(c1)Cl)Cl; 3.43
Training; mobley_2689721;  cyclohexane; C1CCCCC1; 3.44
Training; mobley_2763835;  ethoxybenzene; CCOc1ccccc1; 2.51
Training; mobley_2784376;  cyclopropane; C1CC1; 1.72
Training; mobley_2802855;  1-bromobutane; CCCCBr; 2.75
Training; mobley_282648;  naphthalene; c1ccc2ccccc2c1; 3.3
Training; mobley_2837389;  pyrrole; c1cc[nH]c1; 0.75
Training; mobley_2925352;  p-cresol; Cc1ccc(cc1)O; 1.97
Training; mobley_2958326;  N-propylpropan-1-amine; CCCNCCC; 1.53
Training; mobley_2972906;  thiophene; c1ccsc1; 1.81
Training; mobley_299266;  2-methylprop-1-ene; CC(=C)C; 2.34
Training; mobley_2996632;  chloroform; C(Cl)(Cl)Cl; 1.97
Training; mobley_3006808;  2,2,2-trifluoroethanol; C(C(F)(F)F)O; 0.41
Training; mobley_303222;  prop-1-ene; CC=C; 1.77
Training; mobley_3034976;  acetic acid; CC(=O)O; -0.17
Training; mobley_3053621;  benzene; c1ccccc1; 2.13
Training; mobley_313406;  propan-1-ol; CCCO; 0.25
Training; mobley_3167746;  octane; CCCCCCCC; 5.15
Training; mobley_3234716;  p-xylene; Cc1ccc(cc1)C; 3.15
Training; mobley_3395921;  tetrahydropyran; C1CCOCC1; 0.95
Training; mobley_3398536;  iodobenzene; c1ccc(cc1)I; 3.25
Training; mobley_3546460;  hexan-1-ol; CCCCCCO; 2.03
Training; mobley_3573480;  heptan-2-one; CCCCCC(=O)C; 1.98
Training; mobley_36119;  octan-1-ol; CCCCCCCCO; 3.07
Training; mobley_3738859;  1-bromo-pentane; CCCCCBr; 3.37
Training; mobley_3761215;  1,1,1-trichloroethane; CC(Cl)(Cl)Cl; 2.49
